Myoware,X-axis,Y-axis,Z-axis,Output
518,-5.84,4.41,3.56,Bicep_Wrong_Form
980,-7.94,0.75,0.72,Bicep_Wrong_Form
662,-5.13,5.19,-0.22,Bicep_Wrong_Form
369,-7.75,1.94,0.44,Bicep_Wrong_Form
301,-6.03,5.06,1.37,Bicep_Wrong_Form
237,-8.03,0.28,1.12,Bicep_Wrong_Form
372,-7.22,0,0.19,Bicep_Wrong_Form
320,-7.41,1.34,0.66,Bicep_Wrong_Form
257,-7.34,0.47,0.78,Bicep_Wrong_Form
372,-6.72,3.63,0.88,Bicep_Wrong_Form
305,-7.78,1.56,0.47,Bicep_Wrong_Form
241,-7.91,0.5,0.44,Bicep_Wrong_Form
374,-7.88,0.88,0.56,Bicep_Wrong_Form
288,-7.53,-0.16,0.09,Bicep_Correct_Form
236,-7.66,0.37,0.25,Bicep_Correct_Form
598,-7.28,-0.06,0.03,Bicep_Correct_Form
474,-7.66,-0.28,-0.41,Bicep_Correct_Form
357,-7.84,-0.75,-0.56,Bicep_Correct_Form
496,-7.5,-0.16,-0.06,Bicep_Correct_Form
363,-7.66,0.41,0.22,Bicep_Correct_Form
518,-8.06,-1.03,-0.44,Bicep_Correct_Form
320,-7.47,-0.22,-0.09,Bicep_Correct_Form
420,-7.75,-0.66,0,Bicep_Correct_Form
571,-7.69,0.53,0.06,Bicep_Correct_Form
306,-8.34,-1.28,-1.25,Bicep_Correct_Form
532,-7.47,-0.37,-0.47,Bicep_Correct_Form
711,-7.78,-0.84,-0.44,Bicep_Correct_Form
305,-8.66,-1.81,-0.91,Bicep_Correct_Form
479,-7.53,-0.22,-0.34,Bicep_Correct_Form
611,-7.47,-0.97,-0.37,Bicep_Correct_Form
422,-7.91,-0.12,-0.44,Bicep_Correct_Form
615,-8.09,-1.25,-0.94,Bicep_Correct_Form
559,-7.44,-0.06,-0.19,Bicep_Correct_Form
348,-7.59,-0.22,-0.03,Bicep_Correct_Form
462,-7.5,0.06,-0.03,Bicep_Correct_Form
585,-7.66,-0.59,-0.37,Bicep_Correct_Form
490,-7.81,0.25,-0.19,Bicep_Correct_Form
277,-7.28,0.81,0.16,Bicep_Correct_Form
448,-7.81,0.22,0.25,Bicep_Correct_Form
521,-7.75,-1.28,-0.59,Bicep_Correct_Form
628,-7.38,-0.06,0.19,Bicep_Correct_Form
689,-7.72,-0.19,0.03,Bicep_Correct_Form
369,-7.84,-0.16,-0.03,Bicep_Correct_Form
628,-7.25,0.09,-0.03,Bicep_Correct_Form
689,-7.16,0.03,0,Bicep_Correct_Form
885,-7.88,0.41,-0.28,Bicep_Correct_Form
290,-7.44,-0.19,0.19,Bicep_Correct_Form
404,-7.72,-0.37,-0.19,Bicep_Correct_Form
568,-7.75,0.44,0.28,Bicep_Correct_Form
797,-7.47,-0.59,-0.37,Bicep_Correct_Form
396,-8.16,-0.31,-0.06,Bicep_Correct_Form
662,-8.03,-0.63,-0.37,Bicep_Correct_Form
733,-7.41,-0.5,-0.12,Bicep_Correct_Form
460,-7.78,0.78,0.31,Bicep_Correct_Form
766,-7.44,-0.31,-0.56,Bicep_Correct_Form
931,-7.38,0.25,0.5,Bicep_Correct_Form
789,-7.56,-0.63,-0.69,Bicep_Correct_Form
616,-7.88,-0.31,-0.69,Bicep_Correct_Form
814,-7.47,0.03,0.12,Bicep_Correct_Form
980,-7.81,0.06,-0.06,Bicep_Correct_Form
576,-7.81,-0.31,-0.12,Bicep_Correct_Form
812,-7.47,-1.16,-0.59,Bicep_Correct_Form
980,-7.78,-0.16,0.09,Bicep_Correct_Form
467,-7.84,-0.97,-0.19,Bicep_Correct_Form
770,-7.69,-0.72,-0.63,Bicep_Correct_Form
980,-7.47,-0.06,0.12,Bicep_Correct_Form
540,-7.97,-0.09,-0.59,Bicep_Correct_Form
743,-7.81,-0.16,-0.75,Bicep_Correct_Form
979,-7.09,-0.19,-0.03,Bicep_Correct_Form
655,-7.84,-0.5,-0.28,Bicep_Correct_Form
958,-7.63,0.97,0.37,Bicep_Correct_Form
749,-7.34,0.56,0.66,Bicep_Correct_Form
979,-7.47,-0.44,-0.34,Bicep_Correct_Form
360,-7.91,-0.91,-0.34,Bicep_Correct_Form
687,-7.53,-0.22,-0.5,Bicep_Correct_Form
980,-7.88,0.12,-0.22,Bicep_Correct_Form
881,-7.59,-0.53,-0.53,Bicep_Correct_Form
978,-8.03,0.5,0.22,Bicep_Correct_Form
884,-7.88,0.31,-0.16,Bicep_Correct_Form
782,-7.81,1.16,0.72,Bicep_Correct_Form
513,-7.47,0.28,0.03,Bicep_Correct_Form
979,-7.5,-0.34,-0.22,Bicep_Correct_Form
928,-7.28,0.91,0.53,Bicep_Correct_Form
980,-7.75,0.19,-0.09,Bicep_Correct_Form
518,-7.41,0.25,0.16,Bicep_Correct_Form
969,-7.53,0.44,-0.12,Bicep_Correct_Form
879,-8.13,-0.12,0.22,Bicep_Correct_Form
383,-7.84,0.63,0.66,Bicep_Correct_Form
787,-7.41,0.16,-0.19,Bicep_Correct_Form
978,-7.25,1.16,0.97,Bicep_Correct_Form
908,-7.25,-0.75,-0.06,Bicep_Correct_Form
979,-7.75,0.37,0.66,Bicep_Correct_Form
841,-7.66,-0.22,-0.09,Bicep_Correct_Form
979,-7.97,0.09,-0.56,Bicep_Correct_Form
794,-7.94,0.22,-0.22,Bicep_Correct_Form
602,-7.56,0.5,0.56,Bicep_Correct_Form
934,-8.19,-0.25,-0.47,Bicep_Correct_Form
622,-7.44,1.37,0.88,Bicep_Correct_Form
979,-7.88,-1.06,-0.37,Bicep_Correct_Form
905,-7.84,-0.22,-0.41,Bicep_Correct_Form
963,-7.56,-1.09,-0.72,Bicep_Correct_Form
768,-7.69,-1.69,-0.78,Bicep_Correct_Form
146,-7.84,-0.44,0,Bicep_Correct_Form
936,-7.94,-0.34,-0.12,Bicep_Correct_Form
726,-7.72,-1.34,-0.44,Bicep_Correct_Form
543,-7.81,-0.12,-0.12,Bicep_Correct_Form
488,-7.53,-0.69,-0.56,Bicep_Correct_Form
636,-7.5,-0.31,-0.16,Bicep_Correct_Form
889,-7.34,0.63,-0.16,Bicep_Correct_Form
372,-7.59,1.12,0.19,Bicep_Correct_Form
241,-7.88,0.03,-0.25,Bicep_Correct_Form
340,-7.78,0.03,-0.22,Bicep_Correct_Form
468,-7.56,0.5,0.37,Bicep_Correct_Form
471,-7.31,3.5,1.37,Bicep_Wrong_Form
716,-7.28,1.16,0.16,Bicep_Wrong_Form
978,-7.03,3.13,1.81,Bicep_Wrong_Form
703,-6.59,2.25,1.28,Bicep_Wrong_Form
590,-7.19,1.94,1.12,Bicep_Wrong_Form
979,-6.94,2.97,1,Bicep_Wrong_Form
647,-6.97,1.84,1.12,Bicep_Wrong_Form
774,-6.88,2.66,1.5,Bicep_Wrong_Form
836,-7.91,-0.53,-0.84,Bicep_Wrong_Form
766,-6.56,2.34,2.13,Bicep_Wrong_Form
850,-7.53,1.19,0.41,Bicep_Wrong_Form
593,-7,2.75,2,Bicep_Wrong_Form
974,-8.22,-0.06,-0.41,Bicep_Wrong_Form
541,-7.63,2.41,1.59,Bicep_Wrong_Form
975,-7.91,0.34,-0.25,Bicep_Wrong_Form
799,-6.72,1.81,1.41,Bicep_Wrong_Form
978,-8.16,2.16,1.53,Bicep_Wrong_Form
411,-6.88,2.19,1.41,Bicep_Wrong_Form
973,-7.91,0.19,-0.25,Bicep_Wrong_Form
620,-7.03,2.72,1.91,Bicep_Wrong_Form
975,-7.44,1.06,0.06,Bicep_Wrong_Form
862,-7.13,2.44,1.97,Bicep_Wrong_Form
921,-8.03,2.09,1.16,Bicep_Wrong_Form
714,-7.31,1.72,0.72,Bicep_Wrong_Form
801,-6.94,2.63,1.69,Bicep_Wrong_Form
959,-7.66,1.56,0.84,Bicep_Wrong_Form
503,-6.69,3.06,2,Bicep_Wrong_Form
974,-7.84,0.28,0.09,Bicep_Wrong_Form
280,-7.38,-1.97,-0.09,Bicep_Wrong_Form
217,-7.56,-1.09,0.09,Bicep_Wrong_Form
392,-7.56,0.84,0.75,Bicep_Correct_Form
285,-7.63,0.12,0,Bicep_Correct_Form
228,-7.44,-0.31,-0.03,Bicep_Correct_Form
280,-7.94,-0.16,-0.12,Bicep_Correct_Form
385,-7.47,-0.03,0.37,Bicep_Correct_Form
295,-7.88,-0.5,0.09,Bicep_Correct_Form
220,-7.44,0.22,-0.28,Bicep_Correct_Form
346,-7.84,0.5,0.69,Bicep_Correct_Form
278,-8.19,-0.06,0.03,Bicep_Correct_Form
213,-7.59,-0.19,-0.28,Bicep_Correct_Form
343,-7.78,0.37,0.09,Bicep_Correct_Form
272,-7.94,-0.63,0.09,Bicep_Correct_Form
213,-8.06,0.75,0.31,Bicep_Correct_Form
328,-7.75,0.09,0.22,Bicep_Correct_Form
254,-7.13,-0.09,0.66,Bicep_Correct_Form
344,-7.97,0.22,0.34,Bicep_Correct_Form
279,-6.94,0.53,0.81,Bicep_Correct_Form
220,-7.47,-0.06,0.28,Bicep_Correct_Form
332,-7.38,-0.72,-0.63,Bicep_Correct_Form
385,-8.13,0.5,0.37,Bicep_Correct_Form
402,-6.19,4.06,0.31,Bicep_Wrong_Form
311,-6.91,5.34,0.47,Bicep_Wrong_Form
240,-7.09,3.44,0.81,Bicep_Wrong_Form
321,-6.53,4.72,0.5,Bicep_Wrong_Form
407,-7.84,0.81,0.06,Bicep_Wrong_Form
294,-7.66,1.22,-0.16,Bicep_Wrong_Form
223,-5.84,4.59,0.53,Bicep_Wrong_Form
320,-6.97,2.09,1.12,Bicep_Wrong_Form
400,-7.63,1.75,0.75,Bicep_Wrong_Form
315,-7.09,1.5,0.88,Bicep_Wrong_Form
259,-6.94,4.16,0.75,Bicep_Wrong_Form
379,-7.38,1.81,0.53,Bicep_Wrong_Form
286,-6.75,3.88,0.66,Bicep_Wrong_Form
227,-7.03,1.78,1,Bicep_Wrong_Form
376,-7.47,3.38,0.81,Bicep_Wrong_Form
433,-6.59,3.84,0.59,Bicep_Wrong_Form
977,-7.5,2.44,0.34,Bicep_Wrong_Form
235,-5.66,4.25,1.12,Bicep_Wrong_Form
365,-7.91,0.16,0.31,Bicep_Wrong_Form
285,-6.44,4.5,1.37,Bicep_Wrong_Form
974,-7.59,-0.37,-0.69,Bicep_Correct_Form
545,-7.34,-0.25,-0.56,Bicep_Correct_Form
976,-7.81,0.19,-0.81,Bicep_Correct_Form
772,-7.38,0.28,-0.12,Bicep_Correct_Form
832,-7.81,0.03,-0.5,Bicep_Correct_Form
978,-8.16,-0.03,-0.63,Bicep_Correct_Form
520,-7.5,-0.34,-0.84,Bicep_Correct_Form
976,-8.19,-0.72,-0.88,Bicep_Correct_Form
581,-7.22,-0.16,-0.88,Bicep_Correct_Form
977,-7.84,-0.66,-1.28,Bicep_Correct_Form
639,-7.59,-0.22,-0.78,Bicep_Correct_Form
772,-7.63,-0.34,-0.84,Bicep_Correct_Form
965,-7.88,-1.56,-1.12,Bicep_Correct_Form
582,-8.06,-1.56,-1.25,Bicep_Correct_Form
976,-8.06,0.5,-0.47,Bicep_Correct_Form
765,-7.34,-0.56,-1,Bicep_Correct_Form
977,-7.66,1.53,-0.06,Bicep_Correct_Form
742,-7.5,0.09,-0.78,Bicep_Correct_Form
976,-7.91,-0.22,-1.03,Bicep_Correct_Form
605,-7.84,-1.5,-2.03,Bicep_Correct_Form
976,-7.88,0.81,-0.78,Bicep_Correct_Form
735,-7.19,-0.41,-1.19,Bicep_Correct_Form
976,-7.59,0.16,-0.72,Bicep_Correct_Form
569,-7.19,0.19,-0.81,Bicep_Correct_Form
978,-7.78,0.47,-0.78,Bicep_Correct_Form
920,-7.69,0.78,-0.47,Bicep_Correct_Form
977,-7.34,0.66,-0.47,Bicep_Correct_Form
554,-7.75,-1.44,-0.97,Bicep_Correct_Form
977,-7.88,1.75,0.28,Bicep_Correct_Form
737,-7.31,-1.06,-1,Bicep_Correct_Form
977,-7.34,1.69,0.31,Bicep_Correct_Form
746,-7.81,-0.75,-0.84,Bicep_Correct_Form
977,-7.22,2,0.22,Bicep_Correct_Form
463,-7.56,-0.31,-0.66,Bicep_Correct_Form
931,-7.47,1.66,0.09,Bicep_Correct_Form
779,-7.72,-0.03,-0.81,Bicep_Correct_Form
978,-7.66,1.72,0,Bicep_Correct_Form
542,-7.38,-0.25,-0.84,Bicep_Correct_Form
979,-7.91,2.19,-0.06,Bicep_Correct_Form
357,-7.41,-0.03,-0.75,Bicep_Correct_Form
978,-7.06,2.28,0.81,Bicep_Correct_Form
633,-7.44,0.37,0.16,Bicep_Correct_Form
468,-7.22,-0.28,-0.53,Bicep_Correct_Form
978,-8.47,2.94,-0.19,Bicep_Correct_Form
922,-7.38,0.25,-0.56,Bicep_Correct_Form
975,-7.56,-0.53,-1.28,Bicep_Correct_Form
770,-7.69,0.53,-0.69,Bicep_Correct_Form
341,-7.94,0.16,-0.44,Bicep_Correct_Form
545,-7.5,0.37,-0.37,Bicep_Correct_Form
394,-7.72,0.59,-0.56,Bicep_Correct_Form
364,-7.81,-0.37,0.16,Bicep_Wrong_Form
309,-6.25,3.72,1.16,Bicep_Wrong_Form
248,-7.75,0.28,0.31,Bicep_Wrong_Form
374,-6.78,2.25,0.72,Bicep_Wrong_Form
267,-7.09,0.44,1.5,Bicep_Wrong_Form
356,-5.91,4.59,0.16,Bicep_Wrong_Form
518,-5.84,4.41,3.56,Bicep_Wrong_Form
980,-7.94,0.75,0.72,Bicep_Wrong_Form
662,-5.13,5.19,-0.22,Bicep_Wrong_Form
369,-7.75,1.94,0.44,Bicep_Wrong_Form
400,-7.63,1.75,0.75,Bicep_Wrong_Form
315,-7.09,1.5,0.88,Bicep_Wrong_Form
259,-6.94,4.16,0.75,Bicep_Wrong_Form
379,-7.38,1.81,0.53,Bicep_Wrong_Form
286,-6.75,3.88,0.66,Bicep_Wrong_Form
227,-7.03,1.78,1,Bicep_Wrong_Form
376,-7.47,3.38,0.81,Bicep_Wrong_Form
433,-6.59,3.84,0.59,Bicep_Wrong_Form
977,-7.5,2.44,0.34,Bicep_Wrong_Form
235,-5.66,4.25,1.12,Bicep_Wrong_Form
365,-7.91,0.16,0.31,Bicep_Wrong_Form
976,-8.06,0.5,-0.47,Bicep_Correct_Form
765,-7.34,-0.56,-1,Bicep_Correct_Form
977,-7.66,1.53,-0.06,Bicep_Correct_Form
742,-7.5,0.09,-0.78,Bicep_Correct_Form
976,-7.91,-0.22,-1.03,Bicep_Correct_Form
605,-7.84,-1.5,-2.03,Bicep_Correct_Form
976,-7.88,0.81,-0.78,Bicep_Correct_Form
735,-7.19,-0.41,-1.19,Bicep_Correct_Form
976,-7.59,0.16,-0.72,Bicep_Correct_Form
569,-7.19,0.19,-0.81,Bicep_Correct_Form
862,-7.13,2.44,1.97,Bicep_Wrong_Form
921,-8.03,2.09,1.16,Bicep_Wrong_Form
714,-7.31,1.72,0.72,Bicep_Wrong_Form
801,-6.94,2.63,1.69,Bicep_Wrong_Form
959,-7.66,1.56,0.84,Bicep_Wrong_Form
503,-6.69,3.06,2,Bicep_Wrong_Form
974,-7.84,0.28,0.09,Bicep_Wrong_Form
280,-7.38,-1.97,-0.09,Bicep_Wrong_Form
217,-7.56,-1.09,0.09,Bicep_Wrong_Form
301,-6.03,5.06,1.37,Bicep_Wrong_Form
237,-8.03,0.28,1.12,Bicep_Wrong_Form
372,-7.22,0,0.19,Bicep_Wrong_Form
320,-7.41,1.34,0.66,Bicep_Wrong_Form
257,-7.34,0.47,0.78,Bicep_Wrong_Form
372,-6.72,3.63,0.88,Bicep_Wrong_Form
305,-7.78,1.56,0.47,Bicep_Wrong_Form
241,-7.91,0.5,0.44,Bicep_Wrong_Form
374,-7.88,0.88,0.56,Bicep_Wrong_Form
288,-7.53,-0.16,0.09,Bicep_Correct_Form
236,-7.66,0.37,0.25,Bicep_Correct_Form
598,-7.28,-0.06,0.03,Bicep_Correct_Form
474,-7.66,-0.28,-0.41,Bicep_Correct_Form
357,-7.84,-0.75,-0.56,Bicep_Correct_Form
496,-7.5,-0.16,-0.06,Bicep_Correct_Form
295,-7.88,-0.5,0.09,Bicep_Correct_Form
220,-7.44,0.22,-0.28,Bicep_Correct_Form
346,-7.84,0.5,0.69,Bicep_Correct_Form
278,-8.19,-0.06,0.03,Bicep_Correct_Form
213,-7.59,-0.19,-0.28,Bicep_Correct_Form
343,-7.78,0.37,0.09,Bicep_Correct_Form
272,-7.94,-0.63,0.09,Bicep_Correct_Form
213,-8.06,0.75,0.31,Bicep_Correct_Form
328,-7.75,0.09,0.22,Bicep_Correct_Form
254,-7.13,-0.09,0.66,Bicep_Correct_Form
344,-7.97,0.22,0.34,Bicep_Correct_Form
279,-6.94,0.53,0.81,Bicep_Correct_Form
220,-7.47,-0.06,0.28,Bicep_Correct_Form
332,-7.38,-0.72,-0.63,Bicep_Correct_Form
385,-8.13,0.5,0.37,Bicep_Correct_Form
402,-6.19,4.06,0.31,Bicep_Wrong_Form
311,-6.91,5.34,0.47,Bicep_Wrong_Form
240,-7.09,3.44,0.81,Bicep_Wrong_Form
321,-6.53,4.72,0.5,Bicep_Wrong_Form
407,-7.84,0.81,0.06,Bicep_Wrong_Form
294,-7.66,1.22,-0.16,Bicep_Wrong_Form
223,-5.84,4.59,0.53,Bicep_Wrong_Form
320,-6.97,2.09,1.12,Bicep_Wrong_Form
400,-7.63,1.75,0.75,Bicep_Wrong_Form
391,-7.56,-0.03,-0.12,Bicep_Correct_Form
324,-7.72,-0.19,-0.47,Bicep_Correct_Form
252,-7.59,-0.25,0.06,Bicep_Correct_Form
356,-7.59,0.25,0.06,Bicep_Correct_Form
272,-7.72,-0.31,0.34,Bicep_Correct_Form
333,-7.59,-0.59,-0.25,Bicep_Correct_Form
386,-7.75,-0.72,0.09,Bicep_Correct_Form
330,-7.31,0.31,0.16,Bicep_Correct_Form
263,-7.75,-0.37,-0.12,Bicep_Correct_Form
369,-7.47,0.22,-0.19,Bicep_Correct_Form
316,-7.81,-0.16,-0.12,Bicep_Correct_Form
260,-7.66,0.16,0.09,Bicep_Correct_Form
801,-6.93,2.62,1.69,Bicep_Wrong_Form
959,-7.66,1.55,0.84,Bicep_Wrong_Form
503,-6.68,3.04,2,Bicep_Wrong_Form
974,-7.84,0.27,0.09,Bicep_Wrong_Form
280,-7.38,-1.99,-0.09,Bicep_Wrong_Form
217,-7.55,-1.08,0.09,Bicep_Wrong_Form
421,-7.91,-0.12,-0.43,Bicep_Correct_Form
615,-8.09,-1.25,-0.94,Bicep_Correct_Form
558,-7.44,-0.06,-0.18,Bicep_Correct_Form
347,-7.59,-0.21,-0.02,Bicep_Correct_Form
462,-7.5,0.07,-0.03,Bicep_Correct_Form
586,-7.66,-0.59,-0.37,Bicep_Correct_Form
490,-7.81,0.25,-0.18,Bicep_Correct_Form
277,-7.28,0.82,0.16,Bicep_Correct_Form
448,-7.81,0.22,0.25,Bicep_Correct_Form
521,-7.75,-1.29,-0.58,Bicep_Correct_Form
627,-7.38,-0.07,0.19,Bicep_Correct_Form
472,-7.31,3.5,1.37,Bicep_Wrong_Form
717,-7.28,1.15,0.16,Bicep_Wrong_Form
979,-7.03,3.12,1.81,Bicep_Wrong_Form
704,-6.59,2.24,1.28,Bicep_Wrong_Form
589,-7.19,1.93,1.12,Bicep_Wrong_Form
980,-6.94,2.98,1,Bicep_Wrong_Form
648,-6.97,1.84,1.12,Bicep_Wrong_Form
776,-6.88,2.66,1.5,Bicep_Wrong_Form
834,-7.91,-0.53,-0.84,Bicep_Wrong_Form
765,-6.56,2.33,2.13,Bicep_Wrong_Form
849,-7.53,1.17,0.41,Bicep_Wrong_Form
592,-7,2.74,2,Bicep_Wrong_Form
973,-8.22,-0.05,-0.41,Bicep_Wrong_Form
542,-7.63,2.42,1.59,Bicep_Wrong_Form
976,-7.91,0.33,-0.25,Bicep_Wrong_Form
798,-6.72,1.82,1.41,Bicep_Wrong_Form
977,-8.16,2.17,1.53,Bicep_Wrong_Form
411,-6.88,2.19,1.41,Bicep_Wrong_Form
227,-7.03,1.78,1,Bicep_Wrong_Form
376,-7.47,3.38,0.81,Bicep_Wrong_Form
433,-6.59,3.84,0.59,Bicep_Wrong_Form
977,-7.5,2.44,0.34,Bicep_Wrong_Form
235,-5.66,4.25,1.12,Bicep_Wrong_Form
365,-7.91,0.16,0.31,Bicep_Wrong_Form
285,-6.44,4.5,1.37,Bicep_Wrong_Form
974,-7.59,-0.37,-0.69,Bicep_Correct_Form
545,-7.34,-0.25,-0.56,Bicep_Correct_Form
976,-7.81,0.19,-0.81,Bicep_Correct_Form
772,-7.38,0.28,-0.12,Bicep_Correct_Form
832,-7.81,0.03,-0.5,Bicep_Correct_Form
978,-8.16,-0.03,-0.63,Bicep_Correct_Form
520,-7.5,-0.34,-0.84,Bicep_Correct_Form
976,-8.19,-0.72,-0.88,Bicep_Correct_Form
321,-6.53,4.72,0.5,Bicep_Wrong_Form
407,-7.84,0.81,0.06,Bicep_Wrong_Form
294,-7.66,1.22,-0.16,Bicep_Wrong_Form
223,-5.84,4.59,0.53,Bicep_Wrong_Form
320,-6.97,2.09,1.12,Bicep_Wrong_Form
400,-7.63,1.75,0.75,Bicep_Wrong_Form
315,-7.09,1.5,0.88,Bicep_Wrong_Form
259,-6.94,4.16,0.75,Bicep_Wrong_Form
379,-7.38,1.81,0.53,Bicep_Wrong_Form
286,-6.75,3.88,0.66,Bicep_Wrong_Form
332,-7.75,0.37,0.25,Bicep_Correct_Form
391,-7.56,-0.03,-0.12,Bicep_Correct_Form
324,-7.72,-0.19,-0.47,Bicep_Correct_Form
252,-7.59,-0.25,0.06,Bicep_Correct_Form
356,-7.59,0.25,0.06,Bicep_Correct_Form
272,-7.72,-0.31,0.34,Bicep_Correct_Form
